fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
36837,US,,,cbsa,,iso1:us#cbsa:36837,,147036,0.113,other,31.8,,0.97,0.21,,,0.34,3,2,3,4,1,,0,42723,599,,,,231,86,5,,24,8,1,,34,,93489,86130,2022-07-28,,0.636,0.586,0,144624,3,46826,0.318,222.4,,,825,306,19,93,35,3,0.023,,12,15,9.9,,1
36840,US,,,cbsa,,iso1:us#cbsa:36840,,25544,0.253,other,28.0,,1.09,0.62,,,0.45,3,3,3,4,1,,0,7368,93,,,,45,10,1,,6,2,0,,50,,15008,13427,2022-07-28,,0.588,0.526,0,,3,6399,0.251,195.7,,,1633,935,46,144,108,6,0.029,,6,110,11.0,,1
36900,US,,,cbsa,,iso1:us#cbsa:36900,,34969,,other,27.0,,1.05,0.58,,,0.47,3,4,3,4,1,,0,9491,210,,,,79,33,0,,10,4,1,,66,,19181,17746,2022-07-28,,0.549,0.507,1,24295,3,8445,0.241,188.7,,,172,78,5,12,4,1,0.026,,6,10,8.0,,0
36940,US,,,cbsa,,iso1:us#cbsa:36940,,36649,0.139,other,17.5,,0.76,0.71,,,,2,2,2,4,0,,4,11054,63,,,,22,21,2,,,,,,0,,23784,22560,2022-07-28,,0.649,0.616,0,,3,13872,0.379,122.8,,,1425,1148,32,170,117,2,0.023,,6,35,13.4,,1
36980,US,,,cbsa,,iso1:us#cbsa:36980,,119440,0.236,other,64.5,,1.19,0.18,,,,3,3,3,4,2,,4,38998,476,,,,,,,,,,,,0,,72840,65570,2022-07-28,,0.61,0.549,0,,3,32392,0.271,451.3,,,1150,936,59,108,83,12,0.055,,,75,20.3,,2
37060,US,,,cbsa,,iso1:us#cbsa:37060,,54019,0.239,other,41.3,,1.02,0.25,,,0.73,3,3,3,4,1,,1,16693,179,,,,247,150,11,,14,10,2,,0,,33361,29977,2022-07-28,,0.618,0.555,0,75585,3,12679,0.235,288.8,,,303,175,11,14,10,2,0.04,,4,4,6.2,,1
37100,US,,,cbsa,,iso1:us#cbsa:37100,,846006,0.161,other,49.8,,1.06,0.1,,,0.78,3,2,3,4,1,,1,210938,1527,,,,1055,796,87,,102,80,6,,1445,,669661,617300,2022-07-28,,0.792,0.73,0,1681795,3,349127,0.413,348.5,,,1055,796,87,102,80,6,0.085,,143,143,15.5,,2
37120,US,,,cbsa,,iso1:us#cbsa:37120,,49172,0.353,other,73.5,,1.13,0.26,,,0.49,3,3,3,4,2,,0,14253,234,,,,54,24,3,,5,2,0,,50,,28646,23695,2022-07-28,,0.583,0.482,0,47167,3,7422,0.151,514.5,,,837,647,52,91,78,2,0.063,,6,45,16.6,,2
37140,US,,,cbsa,,iso1:us#cbsa:37140,,96272,0.203,other,39.3,,1.14,0.25,,,,3,3,3,4,2,,4,29722,451,,,,,,,,,,,,2,,57462,50365,2022-07-28,,0.597,0.523,0,,3,23223,0.241,275.3,,,2180,1562,108,234,131,12,0.045,,,180,24.1,,2
37220,US,,,cbsa,,iso1:us#cbsa:37220,,46523,0.43,other,35.6,,1.19,0.42,,,,3,3,3,4,2,,4,8327,277,,,,25,14,1,,,,,,116,,25641,22009,2022-07-28,,0.551,0.473,0,55839,3,10024,0.215,249.3,,,5987,4763,376,639,523,63,0.067,,4,372,16.5,,2
37260,US,,,cbsa,,iso1:us#cbsa:37260,,74521,0.324,other,39.8,,0.78,0.24,,,0.47,3,3,3,4,0,,0,18949,431,,,,77,50,5,,10,4,0,,0,,37472,31712,2022-07-28,,0.503,0.426,0,,3,12610,0.169,278.4,,,412,288,34,53,28,4,0.077,,14,53,16.5,,2
37300,US,,,cbsa,,iso1:us#cbsa:37300,,57735,,other,23.5,,1.03,0.49,,,0.57,2,4,2,4,1,,0,9017,240,,,,83,28,4,,7,4,1,,9,,26404,23304,2022-07-28,,0.457,0.404,0,60728,3,9516,0.165,164.5,,,195,61,2,13,8,1,0.025,,6,10,9.7,,0
37340,US,,,cbsa,,iso1:us#cbsa:37340,,601942,0.274,other,42.7,,1.2,0.1,,,0.77,3,3,3,4,2,,1,153143,2204,,,,1411,1017,118,,165,127,18,,3597,,463042,394624,2022-07-28,,0.769,0.656,0,,3,175439,0.291,298.8,,,1735,1304,151,226,150,19,0.082,,116,153,18.8,,2
37420,US,,,cbsa,,iso1:us#cbsa:37420,,22740,,other,31.4,,0.91,0.61,,,0.34,3,4,3,4,1,,0,6633,129,,,,112,13,1,,7,2,1,,8,,12501,11005,2022-07-28,,0.55,0.484,1,22400,3,3996,0.176,219.9,,,320,33,2,15,5,2,0.006,,4,8,3.2,,1
37460,US,,,cbsa,,iso1:us#cbsa:37460,,174705,0.212,other,41.0,,0.73,0.13,,,0.54,3,3,3,4,0,,0,49357,837,,,,438,348,24,,84,45,5,,0,,111525,94042,2022-07-28,,0.638,0.538,0,,3,33224,0.19,287.1,,,630,428,36,95,49,5,0.054,,37,37,16.3,,2
37500,US,,,cbsa,,iso1:us#cbsa:37500,,45325,0.319,other,58.6,,1.09,0.33,,,0.7,3,3,3,4,1,,0,17136,182,,,,95,39,1,,10,7,2,,31,,22898,19858,2022-07-28,,0.505,0.438,0,,3,8268,0.182,410.4,,,565,411,28,68,58,2,0.051,,6,36,15.9,,2
37540,US,,,cbsa,,iso1:us#cbsa:37540,,32345,0.224,other,35.3,,1.02,0.46,,,0.67,3,3,3,4,1,,0,8816,165,,,,79,39,2,,9,6,0,,80,,17567,15627,2022-07-28,,0.543,0.483,0,,3,7700,0.238,247.3,,,255,125,7,35,17,0,0.029,,5,11,6.1,,1
37580,US,,,cbsa,,iso1:us#cbsa:37580,,49859,,other,61.1,,1.13,0.29,,,0.9,3,4,3,4,2,,3,13431,259,,,,100,90,10,,6,5,0,,0,,23000,20151,2022-07-28,,0.461,0.404,0,49135,3,8445,0.169,428.0,,,134,99,12,6,5,0,0.088,,18,18,22.0,,2
37620,US,,,cbsa,,iso1:us#cbsa:37620,,89339,0.145,other,58.0,,1.17,0.23,,,,3,2,3,4,2,,4,25730,380,,,,,,,,,,,,66,,60709,52881,2022-07-28,,0.68,0.592,0,,3,21743,0.243,406.3,,,1010,796,75,60,40,1,0.073,,,76,21.3,,2
37660,US,,,cbsa,,iso1:us#cbsa:37660,,19618,0.215,other,35.0,,0.9,0.61,,,0.66,3,3,3,4,0,,0,7018,80,,,,47,18,0,,5,3,1,,48,,10893,9857,2022-07-28,,0.555,0.502,0,,3,4464,0.228,244.7,,,81,47,0,10,5,1,0.009,,4,4,13.7,,2
37740,US,,,cbsa,,iso1:us#cbsa:37740,,54018,0.196,other,50.5,,1.28,0.29,,,0.7,3,2,3,4,2,,0,18589,390,,,,75,27,4,,10,7,2,,191,,37808,32514,2022-07-28,,0.7,0.602,3,56845,3,15856,0.294,353.6,,,10244,7748,408,1162,763,44,0.042,,5,545,11.7,,2
